sentence1,sentence2,word,string,Same_sense,Distance,Layer,mean_relatedness,S1_ntokens,S2_ntokens,token_diffs,n_params,mpath,revision,seed_name,seed,step
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.0,0,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.027015209197998047,1,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03430908918380737,2,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.037942349910736084,3,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.038503825664520264,4,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.03814429044723511,5,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04046058654785156,6,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04050445556640625,7,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04180997610092163,8,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04120701551437378,9,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04218560457229614,10,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04249495267868042,11,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a magic act.,act,act,Different Sense,0.04388570785522461,12,2.181818182,6,6,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.03151649236679077,1,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04201537370681763,2,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.047219276428222656,3,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.04970550537109375,4,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05297821760177612,5,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.056681156158447266,6,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05481749773025513,7,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05464249849319458,8,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05570077896118164,9,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05657261610031128,10,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.056990206241607666,11,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a desperate act.,It was a comedic act.,act,act,Different Sense,0.05837732553482056,12,2.0,6,7,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.0,0,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.03192645311355591,1,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04486370086669922,2,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.04598766565322876,3,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.052589476108551025,4,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.053328096866607666,5,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.056485772132873535,6,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05600285530090332,7,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05542886257171631,8,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05587565898895264,9,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.059322237968444824,10,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05946868658065796,11,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a magic act.,act,act,Different Sense,0.05949592590332031,12,2.818181818,7,6,1,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.0,0,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.03634071350097656,1,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.04945641756057739,2,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.05364114046096802,3,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
It was a humane act.,It was a comedic act.,act,act,Different Sense,0.06186932325363159,4,2.80952381,7,7,0,162322944,EleutherAI/pythia-160m,step1,seed3,3,1
