,dataset_name,sentence_number,sentences
0,geco,1-1,The intense  interest  aroused  in  the  public  by  what  was  known  at  the  time  as  'The  Styles  Case'  has  now  somewhat  subsided. 
1,geco,1-2,"Nevertheless,  in  view  of  the  world-wide  notoriety  which  attended  it,  I  have  been  asked,  both  by  my  friend  Poirot  and  the  family  themselves,  to  write  an  account  of  the  whole  story. "
2,geco,1-3,"This,  we  trust,  will  effectually  silence  the  sensational  rumours  which  still  persist. "
3,geco,1-4,I  will  therefore  briefly  set  down  the  circumstances  which  led  to  my  being  connected  with  the  affair. 
4,geco,1-5,"I  had  been  invalided  home  from  the  Front;  and,  after  spending  some  months  in  a  rather  depressing  Convalescent  Home,  was  given  a  month's  sick  leave. "
5,geco,1-6,"Having  no  near  relations  or  friends,  I  was  trying  to  make  up  my  mind  what  to  do,  when  I  ran  across  John  Cavendish. "
6,geco,1-7,I  had  seen  very  little  of  him  for  some  years. 
7,geco,1-8,"Indeed,  I  had  never  known  him  particularly  well. "
8,geco,1-9,"He  was  a  good  fifteen  years  my  senior,  for  one  thing,  though  he  hardly  looked  his  forty-five  years. "
9,geco,1-10,"As  a  boy,  though,  I  had  often  stayed  at  Styles,  his  mother's  place  in  Essex. "
10,geco,1-11,"We  had  a  good  yarn  about  old  times,  and  it  ended  in  his  inviting  me  down  to  Styles  to  spend  my  leave  there. "
11,geco,1-12,"The  mater  will  be  delighted  to  see  you  again...after  all  those  years,  he  added. "
12,geco,1-13,Your  mother  keeps  well?  I  asked. 
13,geco,1-14,"Oh,  yes. "
14,geco,1-15,I  suppose  you  know  that  she  has  married  again? 
15,geco,1-16,I  am  afraid  I  showed  my  surprise  rather  plainly. 
16,geco,1-17,"Mr.s.  Cavendish,  who  had  married  John's  father  when  he  was  a  widower  with  two  sons,  had  been  a  handsome  woman  of  middle-age  as  I  remembered  her. "
17,geco,1-18,She  certainly  could  not  be  a  day  less  than  seventy  now. 
18,geco,1-19,"I  recalled  her  as  an  energetic,  autocratic  personality,  somewhat  inclined  to  charitable  and  social  notoriety,  with  a  fondness  for  opening  bazaars  and  playing  the  Lady  Bountiful. "
19,geco,1-20,"She  was  a  most  generous  woman,  and  possessed  a  considerable  fortune  of  her  own. "
20,geco,1-21,"Their  country-place,  Styles  Court,  had  been  purchased  by  mr  Cavendish  early  in  their  married  life. "
21,geco,1-22,"He  had  been  completely  under  his  wife's  ascendancy,  so  much  so  that,  on  dying,  he  left  the  place  to  her  for  her  lifetime,  as  well  as  the  larger  part  of  his  income;  an  arrangement  that  was  distinctly  unfair  to  his  two  sons. "
22,geco,1-23,"Their  step-mother,  however,  had  always  been  most  generous  to  them;  indeed,  they  were  so  young  at  the  time  of  their  father's  remarriage  that  they  always  thought  of  her  as  their  own  mother. "
23,geco,1-24,"Lawrence,  the  younger,  had  been  a  delicate  youth. "
24,geco,1-25,"He  had  qualified  as  a  doctor  but  early  relinquished  the  profession  of  medicine,  and  lived  at  home  while  pursuing  literary  ambitions;  though  his  verses  never  had  any  marked  success. "
25,geco,1-26,"John  practiced  for  some  time  as  a  barrister,  but  had  finally  settled  down  to  the  more  congenial  life  of  a  country  squire. "
26,geco,1-27,"He  had  married  two  years  ago,  and  had  taken  his  wife  to  live  at  Styles,  though  I  entertained  a  shrewd  suspicion  that  he  would  have  preferred  his  mother  to  increase  his  allowance,  which  would  have  enabled  him  to  have  a  home  of  his  own. "
27,geco,1-28,"Mr.s.  Cavendish,  however,  was  a  lady  who  liked  to  make  her  own  plans,  and  expected  other  people  to  fall  in  with  them,  and  in  this  case  she  certainly  had  the  whip  hand,  namely:  the  purse  strings. "
28,geco,1-29,John  noticed  my  surprise  at  the  news  of  his  mother's  remarriage  and  smiled  rather  ruefully. 
29,geco,1-30,Rotten  little  bounder  too!  he  said  savagely. 
30,geco,1-31,"I  can  tell  you,  Hastings,  it's  making  life  jolly  difficult  for  us. "
31,geco,1-32,As  for  Evie...you  remember  Evie? 
32,geco,1-33,No. 
33,geco,1-34,"Oh,  I  suppose  she  was  after  your  time. "
